event,model,parameter,source_file,finite_sample_count
GW241109_115924,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_replacement_01_posteriors.hdf5,14582
GW241109_115924,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_replacement_01_posteriors.hdf5,14582
GW241109_115924,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_replacement_01_posteriors.hdf5,14582
GW241109_115924,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_replacement_01_posteriors.hdf5,14582
GW241109_115924,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_replacement_01_posteriors.hdf5,10761
GW241109_115924,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_replacement_01_posteriors.hdf5,10761
GW241109_115924,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_replacement_01_posteriors.hdf5,10761
GW241109_115924,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_replacement_01_posteriors.hdf5,10761
GW241109_115924,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_replacement_01_posteriors.hdf5,10761
GW241101_220523,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_posteriors.hdf5,17545
GW241101_220523,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_posteriors.hdf5,17545
GW241101_220523,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_posteriors.hdf5,17545
GW241101_220523,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,17545
GW241101_220523,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,17545
GW241101_220523,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_posteriors.hdf5,18125
GW241101_220523,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_posteriors.hdf5,18125
GW241101_220523,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_posteriors.hdf5,18125
GW241101_220523,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,18125
GW241101_220523,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,18125
GW240922_142106,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_posteriors.hdf5,16650
GW240922_142106,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_posteriors.hdf5,16650
GW240922_142106,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_posteriors.hdf5,16650
GW240922_142106,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,16650
GW240922_142106,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,16650
GW240922_142106,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_posteriors.hdf5,15936
GW240922_142106,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_posteriors.hdf5,15936
GW240922_142106,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_posteriors.hdf5,15936
GW240922_142106,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,15936
GW240922_142106,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,15936
GW240531_075248,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_posteriors.hdf5,16444
GW240531_075248,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_posteriors.hdf5,16444
GW240531_075248,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_posteriors.hdf5,16444
GW240531_075248,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,16444
GW240531_075248,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,16444
GW240531_075248,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_posteriors.hdf5,14295
GW240531_075248,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_posteriors.hdf5,14295
GW240531_075248,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_posteriors.hdf5,14295
GW240531_075248,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,14295
GW240531_075248,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,14295
GW240428_225440,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_posteriors.hdf5,15573
GW240428_225440,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_posteriors.hdf5,15573
GW240428_225440,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_posteriors.hdf5,15573
GW240428_225440,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,15573
GW240428_225440,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,15573
GW240428_225440,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_posteriors.hdf5,16066
GW240428_225440,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_posteriors.hdf5,16066
GW240428_225440,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_posteriors.hdf5,16066
GW240428_225440,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,16066
GW240428_225440,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,16066
GW240630_101703,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_replacements_01_posteriors.hdf5,15167
GW240630_101703,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_replacements_01_posteriors.hdf5,15167
GW240630_101703,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_replacements_01_posteriors.hdf5,15167
GW240630_101703,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_replacements_01_posteriors.hdf5,15167
GW240630_101703,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_replacements_01_posteriors.hdf5,15167
GW240630_101703,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_replacements_01_posteriors.hdf5,17455
GW240630_101703,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_replacements_01_posteriors.hdf5,17455
GW240630_101703,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_replacements_01_posteriors.hdf5,17455
GW240630_101703,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_replacements_01_posteriors.hdf5,17455
GW240630_101703,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_replacements_01_posteriors.hdf5,17455
GW240910_103535,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_replacements_01_posteriors.hdf5,14426
GW240910_103535,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_replacements_01_posteriors.hdf5,14426
GW240910_103535,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_replacements_01_posteriors.hdf5,14426
GW240910_103535,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_replacements_01_posteriors.hdf5,14426
GW240910_103535,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_replacements_01_posteriors.hdf5,14426
GW240910_103535,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_replacements_01_posteriors.hdf5,16977
GW240910_103535,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_replacements_01_posteriors.hdf5,16977
GW240910_103535,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_replacements_01_posteriors.hdf5,16977
GW240910_103535,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_replacements_01_posteriors.hdf5,16977
GW240910_103535,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_replacements_01_posteriors.hdf5,16977
GW240627_131622,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_posteriors.hdf5,18210
GW240627_131622,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_posteriors.hdf5,18210
GW240627_131622,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_posteriors.hdf5,18210
GW240627_131622,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,18210
GW240627_131622,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,18210
GW240627_131622,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_posteriors.hdf5,18961
GW240627_131622,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_posteriors.hdf5,18961
GW240627_131622,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_posteriors.hdf5,18961
GW240627_131622,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,18961
GW240627_131622,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,18961
GW240426_031451,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_posteriors.hdf5,14745
GW240426_031451,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_posteriors.hdf5,14745
GW240426_031451,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_posteriors.hdf5,14745
GW240426_031451,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,14745
GW240426_031451,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,14745
GW240426_031451,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_posteriors.hdf5,14249
GW240426_031451,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_posteriors.hdf5,14249
GW240426_031451,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_posteriors.hdf5,14249
GW240426_031451,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,14249
GW240426_031451,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,14249
GW241109_033317,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_B_posteriors.hdf5,17821
GW241109_033317,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_B_posteriors.hdf5,17821
GW241109_033317,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_B_posteriors.hdf5,17821
GW241109_033317,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,17821
GW241109_033317,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,17821
GW241109_033317,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_B_posteriors.hdf5,19274
GW241109_033317,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_B_posteriors.hdf5,19274
GW241109_033317,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_B_posteriors.hdf5,19274
GW241109_033317,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_B_posteriors.hdf5,19274
GW241109_033317,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_B_posteriors.hdf5,19274
GW241230_084504,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_posteriors.hdf5,14400
GW241230_084504,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_posteriors.hdf5,14400
GW241230_084504,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_posteriors.hdf5,14400
GW241230_084504,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,14400
GW241230_084504,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,14400
GW241230_084504,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_posteriors.hdf5,14379
GW241230_084504,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_posteriors.hdf5,14379
GW241230_084504,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_posteriors.hdf5,14379
GW241230_084504,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,14379
GW241230_084504,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,14379
GW240526_093944,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_posteriors.hdf5,18843
GW240526_093944,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_posteriors.hdf5,18843
GW240526_093944,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_posteriors.hdf5,18843
GW240526_093944,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,18843
GW240526_093944,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,18843
GW240526_093944,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_posteriors.hdf5,20064
GW240526_093944,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_posteriors.hdf5,20064
GW240526_093944,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_posteriors.hdf5,20064
GW240526_093944,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,20064
GW240526_093944,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,20064
GW250101_011205,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_posteriors.hdf5,19073
GW250101_011205,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_posteriors.hdf5,19073
GW250101_011205,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_posteriors.hdf5,19073
GW250101_011205,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,19073
GW250101_011205,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,19073
GW250101_011205,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_posteriors.hdf5,17858
GW250101_011205,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_posteriors.hdf5,17858
GW250101_011205,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_posteriors.hdf5,17858
GW250101_011205,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,17858
GW250101_011205,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,17858
GW250108_152221,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_posteriors.hdf5,15752
GW250108_152221,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_posteriors.hdf5,15752
GW250108_152221,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_posteriors.hdf5,15752
GW250108_152221,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,15752
GW250108_152221,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,15752
GW250108_152221,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_posteriors.hdf5,14996
GW250108_152221,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_posteriors.hdf5,14996
GW250108_152221,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_posteriors.hdf5,14996
GW250108_152221,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,14996
GW250108_152221,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,14996
GW241114_235258,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_posteriors.hdf5,15921
GW241114_235258,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_posteriors.hdf5,15921
GW241114_235258,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_posteriors.hdf5,15921
GW241114_235258,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,15921
GW241114_235258,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,15921
GW241114_235258,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_posteriors.hdf5,15650
GW241114_235258,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_posteriors.hdf5,15650
GW241114_235258,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_posteriors.hdf5,15650
GW241114_235258,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_posteriors.hdf5,15650
GW241114_235258,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_posteriors.hdf5,15650
GW240519_012815,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_C_replacement_01_posteriors.hdf5,18123
GW240519_012815,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_C_replacement_01_posteriors.hdf5,18123
GW240519_012815,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_C_replacement_01_posteriors.hdf5,18123
GW240519_012815,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_C_replacement_01_posteriors.hdf5,18123
GW240519_012815,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_C_replacement_01_posteriors.hdf5,18123
GW240519_012815,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_C_replacement_01_posteriors.hdf5,17051
GW240519_012815,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_C_replacement_01_posteriors.hdf5,17051
GW240519_012815,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_C_replacement_01_posteriors.hdf5,17051
GW240519_012815,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_C_replacement_01_posteriors.hdf5,17051
GW240519_012815,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_C_replacement_01_posteriors.hdf5,17051
