event,parameter,xphm_split_NW1_p95,xpnr_split_NW1_p95,pair_noise_threshold_NW1
GW240910_103535,chi_eff,0.009205772252900627,0.010369036688692733,0.010369036688692733
GW240910_103535,luminosity_distance,0.009268483533014822,0.0099274262908308,0.0099274262908308
GW240910_103535,chirp_mass_source,0.011434170067272173,0.010367452999397026,0.011434170067272173
GW240627_131622,chirp_mass,0.010837334485469703,0.01053951575491915,0.010837334485469703
GW240627_131622,mass_ratio,0.008844948919096478,0.009272020473087464,0.009272020473087464
GW240627_131622,chi_eff,0.009995942030982407,0.009447032732978925,0.009995942030982407
GW240627_131622,luminosity_distance,0.009123973446444842,0.010726636876292887,0.010726636876292887
GW240627_131622,chirp_mass_source,0.008935894035441786,0.008400877057211301,0.008935894035441786
GW240426_031451,chirp_mass,0.010221474499007998,0.011948551727931038,0.011948551727931038
GW240426_031451,mass_ratio,0.010042925423864634,0.010567247324947498,0.010567247324947498
GW240426_031451,chi_eff,0.009764841374142142,0.010506561389244228,0.010506561389244228
GW240426_031451,luminosity_distance,0.009682034087031204,0.010818681528879864,0.010818681528879864
GW240426_031451,chirp_mass_source,0.009645671759618635,0.009397358097630214,0.009645671759618635
GW241109_033317,chirp_mass,0.013062826878746582,0.009885206871050668,0.013062826878746582
GW241109_033317,mass_ratio,0.008353970751734144,0.009267337830868834,0.009267337830868834
GW241109_033317,chi_eff,0.010497049555760973,0.009902355579015558,0.010497049555760973
GW241109_033317,luminosity_distance,0.009190041208828647,0.009580637806547217,0.009580637806547217
GW241109_033317,chirp_mass_source,0.009063376815180052,0.010467325560850508,0.010467325560850508
GW241230_084504,chirp_mass,0.01111374017939644,0.010724491791935289,0.01111374017939644
GW241230_084504,mass_ratio,0.009678585407296485,0.010204206929970983,0.010204206929970983
GW241230_084504,chi_eff,0.011642053448053701,0.011025903757570807,0.011642053448053701
GW241230_084504,luminosity_distance,0.010371601729996915,0.010763611557675643,0.010763611557675643
GW241230_084504,chirp_mass_source,0.00999433433446962,0.011362217574165643,0.011362217574165643
GW240526_093944,chirp_mass,0.009847102762430322,0.009956326781442305,0.009956326781442305
GW240526_093944,mass_ratio,0.008975181049959535,0.008493985630620642,0.008975181049959535
GW240526_093944,chi_eff,0.009370299956157945,0.010870704469018019,0.010870704469018019
GW240526_093944,luminosity_distance,0.009057499698713747,0.007938507262043988,0.009057499698713747
GW240526_093944,chirp_mass_source,0.009797451667479813,0.009075641659795705,0.009797451667479813
GW250101_011205,chirp_mass,0.009495705071647691,0.009529023363279772,0.009529023363279772
GW250101_011205,mass_ratio,0.0081616860362312,0.008937731733785252,0.008937731733785252
